    RA(°)      Dec      Pos      Distance(kpc)  
      8.96081     -72.6314      -69.240827       1.1999476
      10.2881     -72.7167      -63.421434      0.80373621
      10.2231     -72.6004      -57.346310      0.88263243
      10.7879     -72.4183      -40.959828      0.88233854
      11.6686     -72.8141      -47.982154      0.40772260
      11.3360     -72.7869      -53.465212      0.50130332
      10.7653     -72.8025      -64.110363      0.63679316
      11.1141     -72.6484      -47.271048      0.64364528
      11.0110     -72.4161      -37.275723      0.84271721
      11.3423     -72.4980      -34.615467      0.71726949
      11.0117     -72.9041      -70.308281      0.52727149
      12.0437     -72.7704      -30.991039      0.37174028
      12.0736     -73.0387      -75.132740      0.18591819
      11.3726     -73.0017      -78.080483      0.39563868
      10.1743     -73.0026      -84.634982      0.74410924
      10.5679     -73.1978      -101.26594      0.62984791
      10.6497     -73.2598      -107.34961      0.61990476
      11.5637     -73.1953      -109.00571      0.34588551
      11.1221     -73.0530      -86.493305      0.46058699
      11.1441     -73.2782      -113.99728      0.48974011
      12.1237     -73.2931      -142.15603      0.26494263
      12.2186     -73.1129      -101.17342      0.13901648
      12.4087     -72.7030      -12.017397      0.39627218
      12.8211     -72.8612       10.206215      0.23155760
      12.4192     -72.8126      -15.898016      0.28784933
      11.7297     -72.8643      -51.899353      0.36072375
      9.66943     -73.3220      -106.55356      0.91133366
      9.49157     -73.3667      -108.42469      0.97250992
      8.92507     -73.7175      -122.22411       1.2576794
      10.0068     -73.5578      -122.79559      0.91026628
      10.4417     -73.3800      -115.46278      0.71731092
      8.85975     -73.0980      -92.405254       1.1233980
      8.58836     -73.0137      -88.458049       1.2082075
      8.54534     -73.1128      -93.219218       1.2154430
      8.48185     -72.8960      -83.189346       1.2563340
      9.51728     -72.6689      -67.372126       1.0319116
      8.26628     -72.6965      -75.400466       1.3704509
      7.75855     -72.5219      -71.159919       1.5772909
      7.75156     -72.4477      -68.743668       1.6106314
      8.18801     -72.9863      -87.771928       1.3287192
      7.52601     -72.9873      -88.685991       1.5231052
      8.50335     -73.0681      -91.120499       1.2292068
      9.13944     -72.8631      -79.529685       1.0722910
      8.86313     -72.7589      -75.540809       1.1806375
      9.11264     -73.3076      -103.77811       1.0663225
      7.89113     -72.9572      -87.003127       1.4195119
      8.39702     -73.0429      -90.037503       1.2620038
      8.06205     -73.0799      -91.915408       1.3583186
      9.29887     -73.8178      -128.78786       1.2220042
      9.32114     -73.6553      -122.17914       1.1289029
      8.68281     -73.9340      -128.63427       1.4309694
      8.92401     -74.0023      -132.47871       1.4184563
      9.01469     -73.8289      -127.14075       1.2942394
      7.93972     -74.0584      -128.17327       1.6727840
      8.34326     -73.7106      -118.77440       1.4020205
      6.93277     -73.6733      -112.36575       1.7634897
      7.20056     -74.3160      -131.22890       1.9885331
      6.02657     -74.1088      -121.69945       2.1601323
      5.71064     -73.2762      -98.693291       2.0461802
      6.71225     -73.2871      -99.465967       1.7559795
      6.92313     -73.2168      -97.204516       1.6912683
      7.41642     -73.0144      -89.822193       1.5525805
      7.04876     -72.9389      -87.565126       1.6693161
      5.28566     -72.9706      -90.462842       2.1834652
      5.78450     -73.0108      -91.138279       2.0325761
      6.52620     -73.1793      -95.906240       1.8066277
      7.77881     -73.6424      -113.92618       1.5250951
      7.45385     -73.7281      -115.73198       1.6413772
      7.65820     -73.7483      -117.15624       1.5950885
      8.20810     -73.3782      -104.85715       1.3369110
      7.75153     -73.5169      -109.23536       1.4957290
      7.30220     -73.7065      -114.51497       1.6742666
      7.52186     -73.9232      -122.17157       1.7040627
      7.70997     -74.0339      -126.30588       1.7132560
      8.53096     -73.9396      -127.87295       1.4692227
      8.92077     -73.8485      -127.22397       1.3272261
      9.67373     -73.8238      -132.12974       1.1418187
      8.97806     -73.9705      -131.83530       1.3866259
      9.11650     -74.2112      -139.93508       1.5226233
      8.98342     -73.9125      -129.92238       1.3499035
      9.36103     -73.9851      -135.23740       1.3145057
      9.12151     -74.0911      -136.64153       1.4360091
      9.79915     -74.0644      -141.54217       1.2859857
      10.3590     -74.3823      -154.43291       1.4647018
      9.83061     -74.2010      -145.57162       1.3875523
      9.69938     -74.5806      -152.34555       1.7265454
      9.56871     -74.5221      -150.30365       1.6945953
      10.3348     -74.3884      -154.31711       1.4731514
      11.4835     -74.3162      -165.25776       1.2878189
      11.2593     -74.3522      -163.17278       1.3405340
      11.6597     -73.7608      -157.06451      0.74215493
      12.0764     -73.9183      -168.57950      0.85792233
      12.5122     -74.0514      -177.20924      0.97582798
      12.6215     -74.0484      -178.98852      0.97171806
      11.6499     -74.2901      -166.93376       1.2505550
      11.6463     -74.1051      -164.45195       1.0705026
      12.3059     -74.2257      -174.85378       1.1556972
      12.0464     -74.4554      -172.89460       1.3943731
      12.1096     -73.9836      -169.99846      0.92083501
      11.9408     -73.9445      -166.55483      0.89231165
      12.3936     -73.8593      -174.04947      0.78495204
      12.4794     -73.9819      -176.40357      0.90630613
      12.7928     -74.0726       178.25377      0.99653834
      12.6045     -74.4024      -179.07782       1.3294268
      13.1069     -73.8917       171.69723      0.82228713
      13.4508     -74.0484       167.64555      0.99602956
      12.8891     -73.8536       175.73188      0.77704479
      13.4530     -73.9627       166.37449      0.91202655
